id,herbal_id,senyawa_marker,golongan,nama_senyawa_3d,rumus_molekul,berat_molekul,link_jsmol,catatan_jsmol
277,277,Gingerol,Phenol,6-Gingerol,C17H26O4,294.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=6-gingerol,Jahe merah pedas super paru tenggorokan hangat zingiber officinale rubrum.
278,278,Gingerol (low),Phenol,6-Gingerol,C17H26O4,294.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=6-gingerol,Jahe gajah bumbu besar air banyak zingiber officinale majus.
279,279,Curcuminoids (spec),Diarylheptanoid,Curcumin,C21H20O6,368.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=curcumin,Kunyit hitam kista rahim biru langka curcuma caesia tumor jinak.
280,280,S-Allyl Cysteine,Organosulfur,SAC,C6H11NO2S,161.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=s-allyl-cysteine,Bawang hitam SAC kanker paru jelly manis tanpa bau allium sativum fermentasi.
281,281,Allicin,Organosulfur,Allicin,C6H10OS2,162.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=allicin,Bawang lanang tunggal kolesterol rontok jantung allium sativum solo kuat.
282,282,Ginsenoside Rb1,Saponin,Ginsenoside Rb1,C54H92O23,1109.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ginsenoside+rb1,Ginseng amerika yin dingin stamina santai panax quinquefolius keriput.
283,283,Eleutheroside,Glycoside,Eleutheroside E,C34H46O18,742.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=eleutheroside+e,Ginseng siberia adaptogen tanpa debar rusia eleutherococcus senticosus kayu.
284,284,Ligustilide,Phthalide,Z-Ligustilide,C12H14O2,190.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ligustilide,Dong quai hormon wanita haid angelica sinensis ginseng wanita china.
285,285,Astragaloside IV,Triterpenoid saponin,Astragaloside IV,C41H68O14,784.9 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=astragaloside+iv,Astragalus telomer DNA panjang umur imun dasar kuning astragalus membranaceus.
286,286,Cordycepin,Nucleoside analog,Cordycepin,C10H13N5O3,251.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=cordycepin,Cordyceps ATP paru oksigen tibet ulat jamur ophiocordycipitaceae stamina.
287,287,Ganoderic acid,Triterpene,Ganoderic acid A,C30H44O7,516.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ganoderic+acid+a,Reishi lingzhi kanker NK cell kayu merah keras ganoderma lucidum dewa.
288,288,Eritadenine,Alkaloid,Eritadenine,C9H11N5O4,253.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=eritadenine,Shiitake kolesterol instan masakan jepang jamur lentinula edodes payung.
289,289,MD-Fraction,Beta-glucan,Beta-glucan,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=beta-glucan,Maitake tumor ganas TNF alpha hancur jamur karang grifola frondosa jepang.
290,290,Phycocyanin,Pigment protein,Phycocyanin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=protein,Spirulina gizi komplit alga biru arthrospira platensis astronot protein.
291,291,Sporopollenin,Polymer,Sporopollenin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=polymer,Chlorella detoks logam berat raksa timbal dinding sel chlorella vulgaris alga.
292,292,Palmitoleic acid,Fatty acid,Palmitoleic acid,C16H30O2,254.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=palmitoleic+acid,Macadamia mahal lemak nabati pembuluh darah jantung macadamia integrifolia.
293,293,Alpha-Tocopherol,Vitamin E,Tocopherol,C29H50O2,430.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=alpha-tocopherol,Almond otak mielin saraf pikun prunus dulcis kacang coklat pipih.
294,294,DHA/ALA,Omega-3 fatty acid,ALA,C18H30O2,278.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=alpha-linolenic+acid,Walnut bentuk otak cerdas neuroplastisitas juglans regia kenari inggris.
295,295,Proanthocyanidins,Tannin,Procyanidin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=procyanidin,Hazelnut elastis pembuluh jantung kolagen corylus avellana coklat.
296,296,Lutein,Carotenoid,Lutein,C40H56O2,568.9 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=lutein,Pistachio hijau ungu mata makula retina biru layar pistacia vera timur.
297,297,PACs Type-A,Proanthocyanidin,Procyanidin A2,C30H24O12,576.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=procyanidin+a2,Cranberry ISK kencing urin bakteri fimbriae bilas vaccinium macrocarpon asam.
298,298,Anthocyanin,Flavonoid,Cyanidin,C15H11O6+,287.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=cyanidin,Blueberry mata malam gelap antioksidan radikal retina vaccinium corymbosum.
299,299,Tannin/Vit C,Polyphenol,Tannin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=tannin,Blackberry gusi berdarah sariawan kolagen jaringan rubus fruticosus hitam.
300,300,Fragarine,Alkaloid,Fragarine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=alkaloid,Raspberry kram haid rahim rileks otot teh merah rubus idaeus.
301,301,Zeaxanthin,Carotenoid,Zeaxanthin,C40H56O2,568.9 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=zeaxanthin,Pigmen makula mata kuning.
302,302,Cyanidin-3-rutinoside,Anthocyanin,Cyanidin-3-rutinoside,C27H31O15+,595.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=cyanidin-3-rutinoside,Antioksidan beri ungu amazon.
303,303,Sambunigrin,Cyanogenic Glycoside,Sambunigrin,C14H17NO6,295.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=sambunigrin,Beracun sebelum dimasak.
304,304,Palmitoleic Acid,Fatty acid (Omega-7),Palmitoleic Acid,C16H30O2,254.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=palmitoleic+acid,Regenerasi mukosa luar dalam.
305,305,Ascorbic Acid,Vitamin,Ascorbic Acid,C6H8O6,176.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ascorbic+acid,Vitamin C tertinggi.
306,306,Pectin,Polysaccharide,Pectin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=pectin,Prebiotik usus baobab.
307,307,Saponin,Glycoside,Saponin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=saponin,Anti tumor bajakah borneo.
308,308,Berberine,Isoquinoline Alkaloid,Berberine,C20H18NO4+,336.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=berberine,Kuning pahit hepatoprotektor.
309,309,Damianin,Flavonoid,Damianin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=flavonoid,Relaksan gairah.
310,310,Mimosine,Amino acid,Mimosine,C8H10N2O4,198.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=mimosine,Toksik perontok rambut hewan nyenyak manusia.
311,311,Cyperene,Sesquiterpene,Cyperene,C15H24,204.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=cyperene,Peluruh haid teki wangi.
312,312,Kacip Fatimah Phytoestrogen,Phytoestrogen,Genistein,C15H10O5,270.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=genistein,Estrogen nabati melayu.
313,313,Alkaloid Jarong,Alkaloid,Alkaloid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=alkaloid,Peluruh ginjal.
314,314,Crocin,Carotenoid,Crocin,C44H64O24,977.0 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=crocin,Kuning kaca piring penyejuk usus.
315,315,Tannin Soka,Polyphenol,Tannin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=tannin,Disentri tradisional.
316,316,Pinitol,Cyclitol,Pinitol,C7H14O6,194.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=pinitol,Penurun gula darah bunga kertas.
317,317,Vincristine,Indole Alkaloid,Vincristine,C46H56N4O10,825.0 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=vincristine,Racun kemoterapi tapak dara maut.
318,318,Saponin Mangkokan,Glycoside,Saponin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=saponin,Penyubur rambut botak luar.
319,319,Iodine,Halogen,Iodine,I2,253.8 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=iodine,Tiroid kelp tiroid metabolisme basah.
320,320,Fucoxanthin,Carotenoid,Fucoxanthin,C42H58O6,658.9 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=fucoxanthin,Pembakar lemak perut wakame.
321,321,Glutamic Acid,Amino acid,Glutamic Acid,C5H9NO4,147.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=glutamic+acid,Umami kaldu kombu gurih.
322,322,Carrageenan,Polysaccharide,Carrageenan,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=carrageenan,Agar kenyal merah pelapis lambung.
323,323,Lovastatin,Statin,Lovastatin,C24H36O5,404.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=lovastatin,Kolesterol turun tiram alami.
324,324,Auricularia Polysaccharide,Polysaccharide,Polysaccharide,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=polysaccharide,Pengencer darah hitam kuping.
325,325,Aromatase Inhibitor (Natural),Enzyme inhibitor,Aromatase inhibitor,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=aromatase,Pencegah prostat kancing.
326,326,Proflamin,Glycoprotein,Proflamin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=glycoprotein,Imun usus enoki wajib matang.
327,327,Copper (Cu),Mineral,Copper,Cu,63.55 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=copper,Mineral darah merang tropis.
328,328,Cinnamic Acid,Phenolic acid,Cinnamic Acid,C9H8O2,148.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=cinnamic+acid,Wangi dupa kemenyan arab sumatera.
329,329,Camphor,Terpenoid,Camphor,C10H16O,152.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=camphor,Dingin panas kejang neurotoksik kapur barus luar.
330,330,Borneol,Terpenoid,Borneol,C10H18O,154.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=borneol,Pengawet mumi purba borneo.
331,331,Dammarolic acid,Resin acid,Dammarolic acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=resin,Plester damar getah keras kaku.
332,332,Boswellic Acid,Triterpene,Boswellic Acid,C30H48O3,456.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=boswellic+acid,Anti radang sendi terkuat dupa arab.
333,333,Furanosesquiterpene,Sesquiterpene,Furanosesquiterpene,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=sesquiterpene,Sariawan kumur mur wangi pahit.
334,334,Hypericin,Naphthodianthrone,Hypericin,C30H16O8,504.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=hypericin,Antidepresan interaksi obat ekstrim.
335,335,Silibinin,Flavonolignan,Silibinin,C25H22O10,482.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=silibinin,Raja pelindung liver milk thistle mariana.
336,336,Fatty acids (Phytosterols),Lipid,Beta-sitosterol,C29H50O,414.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=beta-sitosterol,Prostat BPH saw palmetto botak dht.
337,337,Actein,Triterpene glycoside,Actein,C37H56O11,676.8 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=actein,Menopause hot flash cohosh hitam.
338,338,Gamma-Linolenic Acid,Omega-6 fatty acid,GLA,C18H30O2,278.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=gamma-linolenic+acid,Nyeri pms payudara malam primrose epö.
339,339,Sennoside A,Anthraquinone glycoside,Sennoside A,C42H38O20,862.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=sennoside+a,Pencahar hancur usus malas jati cina arab.
340,340,Helenalin,Sesquiterpene lactone,Helenalin,C15H18O4,262.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=helenalin,Memar biru salep arnica dilarang telan racun.
341,341,Calendulin,Triterpenoid,Calendulin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=triterpenoid,Kulit bayi ruam calendula marigold.
342,342,Hamamelitannin,Tannin,Hamamelitannin,C20H20O14,484.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=hamamelitannin,Wasir ambeien kempes witch hazel astringen kuat.
343,343,Vitexin,Flavone,Vitexin,C21H20O10,432.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=vitexin,Jantung koroner pompa hawthorn sinergis parah digoxin.
344,344,Myrtillin,Anthocyanin,Myrtillin,C22H23O12+,479.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=myrtillin,Mata malam gelap retina bilberry blueberry eropa.
345,345,Salidroside,Phenylethanoid,Salidroside,C14H20O7,300.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=salidroside,Lelah mental fokus kerja keras emas rusia.
346,346,Schisandrin,Lignan,Schisandrin,C24H32O7,432.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=schisandrin,5 rasa liver china pelindung fokus otak hepar p450.
347,347,Histamine,Amine,Histamine,C5H9N3,111.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=histamine,Gatal alergi obat rematik jelatang dioica.
348,348,Taraxasterol,Triterpene,Taraxasterol,C30H50O,426.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=taraxasterol,Cuci ginjal air dandelion jombang kalium tinggi.
349,349,Arctiin,Lignan,Arctiin,C27H34O11,534.6 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=arctiin,Cuci darah jerawat jepang burdock akar lappa.
350,350,Achilleine,Alkaloid,Achilleine,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=alkaloid,Darah mampet luka perang yarrow achilles.
351,351,Verbascoside,Phenylethanoid,Verbascoside,C29H36O15,624.6 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=verbascoside,Dahak paru asma beludru mullein thapsus.
352,352,Allantoin,Ureid,Allantoin,C4H6N4O3,158.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=allantoin,Sambung tulang comfrey racun hati PA dilarang telan luka luar.
353,353,Thujone,Monoterpene,Thujone,C10H16O,152.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=thujone,Haid lancar rahim baru cina keguguran awal hamil.
354,354,Absinthin,Sesquiterpene lactone,Absinthin,C30H40O6,496.6 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=absinthin,Pahit luar biasa cacing halusinasi van gogh wormwood.
355,355,Rutin,Flavonoid,Rutin,C27H30O16,610.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=rutin,Iritasi UV gosong melepuh inggu racun kejang.
356,356,Rosmarinic Acid,Phenolic acid,Rosmarinic Acid,C18H16O8,360.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=rosmarinic+acid,Penenang cemas gaba naik aman lemon balm melissa.
357,357,Passiflorin,Alkaloid,Passiflorin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=alkaloid,Biji mentah racun sianida buah matang penenang tensi rambusa.
358,358,Baicalin,Flavone glycoside,Baicalin,C21H18O11,446.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=baicalin,Anti alergi cina akar kuning skullcap penenang.
359,359,Humulone,Alpha acid,Humulone,C21H30O5,362.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=humulone,Bir tidur pules hops gaba lupulus.
360,360,Nepetalactone,Terpene,Nepetalactone,C10H14O2,166.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=nepetalactone,Kucing gila manusia tidur kembung catnip nepeta.
361,361,Gamma-Linolenic Acid,Omega-6 fatty acid,GLA,C18H30O2,278.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=gamma-linolenic+acid,Tertinggi GLA radang sendi borage aman minyak murni.
362,362,Parthenolide,Sesquiterpene lactone,Parthenolide,C15H20O3,248.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=parthenolide,Migrain ilang feverfew darah encer interaksi parthenium.
363,363,Salicin,Phenolic glycoside,Salicin,C13H18O7,286.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=salicin,Aspirin asli alam nyeri lambung aman dedalu willow alba.
364,364,Sarsasapogenin,Steroidal saponin,Sarsasapogenin,C27H44O3,416.6 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=sarsasapogenin,Psoriasis kulit bersih darah sarsaparilla smilax.
365,365,Mucilage (Galacturonate),Polysaccharide,Galacturonic acid,C6H10O7,194.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=galacturonic+acid,Gel maag borok tenggorokan serak elm licin rubra jeda obat oral.
366,366,Arabinogalactan,Polysaccharide,Arabinogalactan,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=polysaccharide,Camilan empuk putih radang usus marshmallow akar althaea.
367,367,Formononetin,Isoflavone,Formononetin,C16H12O4,268.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=formononetin,Menopause semanggi merah trifolium pratense fitoestrogen.
368,368,Calcium,Mineral,Calcium,Ca,40.08 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=calcium,Kalsium nabati cuci darah asam urat alfalfa biji racun hewan lopus.
369,369,Glucosinolate,Glucosinolate,Glucosinolate,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=glucosinolate,Dahak cair panas paru lobak putih daikon raphanus.
370,370,Betanin,Betalain,Betanin,C24H26N2O13,550.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=betanin,Darah merah NO oksida vena atlet stamina bit urin merah.
371,371,Allyl sulfide,Organosulfur,Allyl sulfide,C6H10S,114.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=allyl+sulfide,Stamina lambung panas sirkulasi kucai tuberosum.
372,372,Pachyrhizon,Isoflavonoid,Pachyrhizon,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=isoflavonoid,Pemutih kulit masker bengkuang biji racun mati serangga.
373,373,Ambrettolide,Macrolide,Ambrettolide,C16H28O2,252.4 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ambrettolide,Parfum kentut buang angin kasturi moschata.
374,374,Benzyl benzoate,Ester,Benzyl benzoate,C14H12O2,212.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=benzyl+benzoate,Wangi malam cemas hilang sedap malam tuberosa.
375,375,Nymphaline,Alkaloid,Nymphaline,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=alkaloid,Jantung debar kalem tidur teratai air nymphaea alba.
376,376,Methyl Salicylate,Ester,Methyl Salicylate,C8H8O3,152.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=methyl+salicylate,MURNI 98% BALSEM GOSOK DILARANG MINUM MATI RACUN SALISILAT gondopuro.
377,377,Lawsone,Naphthoquinone,Lawsone,C10H6O3,174.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=lawsone,Haid lancar pacar air luar aman dalam bahaya balsamina.
378,378,Rocaglamide,Flavagline,Rocaglamide,C29H31NO7,505.6 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=rocaglamide,Teh china kembung wangi pacar cina aglaia odorata.
379,379,Lawsone (Hennotannic acid),Naphthoquinone,Lawsone,C10H6O3,174.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=lawsone,Pewarna kuku jamur mati kutu air henna inai inermis.
380,380,Peltophorin,Tannin,Peltophorin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=tannin,Batik coklat soga disentri kulit pterocarpum.
381,381,Mimosine,Amino acid,Mimosine,C8H10N2O4,198.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=mimosine,Cacing kremi lamtoro petai cina rontok bulu hewan leucocephala.
382,382,Djenkolic Acid,Amino acid,Djenkolic Acid,C7H14N2O4S2,254.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=djenkolic+acid,Gagal ginjal kristal jarum jengkol petai bau diuretik bohong pauciflorum.
383,383,Djenkolic Acid (low),Amino acid,Djenkolic Acid,C7H14N2O4S2,254.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=djenkolic+acid,Bau kencing ginjal cuci darah mitos petai speciosa.
384,384,Ascorbic Acid,Vitamin C,Ascorbic Acid,C6H8O6,176.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ascorbic+acid,Lemak luntur asam ekstrim cerme acidus diare perih.
385,385,Quercetin,Flavonoid,Quercetin,C15H10O7,302.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=quercetin,Asam urat luruh kristal daun kersen manis muntingia allopurinol alam.
386,386,Jamboline,Alkaloid,Jamboline,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=alkaloid,Diabetes hancur gula turun metformin alam jamblang sepet cumini.
387,387,Anthocyanin,Flavonoid,Cyanidin,C15H11O6+,287.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=cyanidin,Mabuk alkohol liver pelindung gowok ungu polycephalum.
388,388,Ascorbic Acid,Vitamin C,Ascorbic Acid,C6H8O6,176.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ascorbic+acid,Panas dalam sambal gandaria asam manis macrophylla.
389,389,Pectin,Polysaccharide,Pectin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=pectin,Gigi kuat serat kedondong batuk dahak spondias dulcis.
390,390,Caramboxin,Neurotoxin,Caramboxin,C11H13NO6,255.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=caramboxin,RACUN MATI GAGAL GINJAL CUCI DARAH tensi turun belimbing manis carambola.
391,391,Xanthone,Xanthonoid,Xanthone,C13H8O2,196.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=xanthone,Sariawan raksasa kembar manggis mundu garcinia dulcis.
392,392,Tannin,Polyphenol,Tannin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=tannin,Diare mampet pijat sepat rukam flacourtia.
393,393,Iron,Mineral,Iron,Fe,55.84 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=iron,Darah merah anemia besi buni antidesma.
394,394,Bryonolic Acid,Triterpene,Bryonolic Acid,C30H48O3,456.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=bryonolic+acid,Cacing usus mati KECAPI BIJI JANGAN TELAN BEDAH USUS sandoricum.
395,395,Saponin,Glycoside,Saponin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=saponin,Batu ginjal kencing hancur namnam cynometra cauliflora batang.
396,396,Pectin,Polysaccharide,Pectin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=pectin,Lambung pelapis serat bulu gatal kupas bersih bisbul mentega diospyros.
397,397,Artonin E,Flavonoid,Artonin E,C25H24O6,420.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=artonin+e,Malaria pecah cempedak wangi kulit batang artocarpus integer.
398,398,Vitamin A,Retinoid,Retinol,C20H30O,286.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=retinol,Mata radang merah menteng asam bulat racemosa.
399,399,Lansioside,Triterpenoid,Lansioside,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=lansioside,Disentri darah parah biji duku kokosan pahit lansium.
400,400,Essential Amino Acids,Amino acids,Protein,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=protein,Stunting gizi anak biji sukun sayur keluwih artocarpus camansi.
401,401,Ascorbic Acid,Vitamin,Ascorbic Acid,C6H8O6,176.1 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=ascorbic+acid,Vitamin C stabil amla malaka india asam amino.
402,402,Azadirachtin,Limonoid,Azadirachtin,C35H44O16,720.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=azadirachtin,Mimbi neem gatal kutu serangga mati eksim kulit.
403,403,Bacoside A,Saponin,Bacoside A,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=saponin,Brahmi otak memori fokus saraf anak hiperaktif adhd tenang belajar.
404,404,Chebulinic acid,Ellagitannin,Chebulinic acid,C41H32O27,956.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=chebulinic+acid,Haritaki pencahar usus cuci kolon ayurweda usus malas triphala pendorong feses.
405,405,Belleric acid,Glucoside,Belleric acid,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=glucoside,Bibhitaki dahak paru pernapasan lendir bronkus asma triphala dada sesak pelega batuk.
406,406,Shatavarin I,Steroidal saponin,Shatavarin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=saponin,Shatavari rahim wanita kesuburan asi estrogen fito galaktagog payudara.
407,407,Tinosporin,Diterpene glikosida,Tinosporin,-,-,https://chemapps.stolaf.edu/jmol/jmol.php?model=diterpene,Guduchi imun makrofag demam malaria tipes dbd panas dalam peningkat sel putih tulang sumsum.
408,408,Gymnemic Acid,Triterpenoid saponin,Gymnemic Acid,C43H66O14,807.0 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=gymnemic+acid,Gymnema gurmar penghancur gula lidah mati rasa manis diabetes insulin sel pankreas beta regenerasi penderita kencing manis tipe 2.
409,409,Butein,Chalcone,Butein,C15H12O5,272.3 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=butein,Butea superba pria thailand akar kuat cGMP vasodilatasi disfungsi ereksi keras libido peningkat gairah darah panggul erektil sel.
410,410,Icariin,Flavonol glycoside,Icariin,C33H40O15,676.7 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=icariin,Horny goat weed epimedium kambing gila birahi pde5 inhibitor nitrat oksida NO sel otot polos pria wanita sendi linu lansia keropos tulang estrogenik.
411,411,L-DOPA,Amino acid,Levodopa,C9H11NO4,197.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=levodopa,Mucuna pruriens koro benguk parkinson dopamin otak tremor kaku otot gemetar bahagia mood lifter halusinogen mentah bulu gatal ulat.
412,412,Mitragynine,Indole alkaloid,Mitragynine,C23H30N2O4,398.5 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=mitragynine,Kratom kalimantan kapuas opioid reseptor mu kappa nyeri kronis punggung tulang belakang putus obat heroin morfin rehabilitasi adiksi stimulan kopi dosis teh rendah kantuk sedatif lemas dosis tinggi.
413,413,Harmine,Beta-carboline,Harmine,C13H12N2O,212.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=harmine,Ayahuasca yage MAOI inhibitor pemecah DMT lambung otak psikoaktif halusinogen perdua roh amazon dukun spiritual muntah purga pembersihan batin depresi trauma ptsd berat dmt triptamin maut.
414,414,Caffeine,Xanthine,Caffeine,C8H10N4O2,194.2 g/mol,https://chemapps.stolaf.edu/jmol/jmol.php?model=caffeine,Yerba mate theobromin klorogenat asam argentina uruguay gourd bombilla sedotan teh labu energi kardio peningkat fokus kafein tanpa gelisah debar l-theanine relaks awas gerd maag.
