id,herbal_id,nama_obat,tipe_interaksi,efek,mekanisme
323,199,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
324,200,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
410,201,Alprazolam / Diazepam (Benzodiazepin),Farmakodinamik,Sedasi ekstrem hingga koma.,Kava sangat kuat memodulasi reseptor GABA. Kombinasi dengan obat penenang resep akan mendepresi sistem saraf pusat secara berbahaya.
411,201,Levodopa,Farmakodinamik,Gejala Parkinson memburuk.,"Kava dilaporkan memiliki efek antagonis terhadap dopamin, sehingga melawan kerja obat Parkinson."
412,202,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
413,203,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
414,204,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
415,205,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
416,206,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
417,207,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
418,208,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
419,209,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
420,210,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
421,211,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
422,212,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
423,213,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
424,214,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
425,215,Warfarin,Farmakokinetik,Peningkatan risiko pendarahan internal.,Chamomile mengandung kumarin alami dan menghambat sedikit enzim CYP450 yang memetabolisme warfarin.
426,215,Cyclosporine,Farmakokinetik,Toksisitas Cyclosporine (Kerusakan Ginjal).,"Chamomile menghambat enzim CYP3A4, menyebabkan kadar obat imunosupresan ini menumpuk di dalam darah."
427,216,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
428,217,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
429,218,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
430,219,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
431,220,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
432,221,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
433,222,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
434,223,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
435,224,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
436,225,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
437,226,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
438,227,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
439,228,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
440,229,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
441,230,Digoxin,Farmakodinamik,Aritmia fatal akibat toksisitas Digoxin.,Sennosida memicu diare yang menguras kalium tubuh (hipokalemia). Kalium rendah membuat miokardium sangat sensitif terhadap obat digoxin.
442,230,Diuretik Tiazid,Farmakodinamik,Hipokalemia parah dan kelemahan otot ekstrem.,Kombinasi obat peluruh kencing (tiazid) dan peluruh BAB (senna) menguras elektrolit kalium dari dua jalur ekskresi sekaligus.
443,231,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
444,232,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
445,233,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
446,234,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
447,235,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
448,236,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
449,237,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
450,238,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
451,239,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
452,240,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
453,241,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
454,242,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
455,243,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
456,244,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
457,245,Insulin / Obat Antidiabetes Oral,Farmakodinamik,Risiko hipoglikemia berat.,Ginsenosida merangsang pelepasan insulin dan meningkatkan serapan glukosa ke dalam sel.
458,245,MAO Inhibitor (Phenelzine),Farmakodinamik,"Insomnia, sakit kepala, gemetar (tremor).",Sifat stimulan ginseng bersinergi kuat dengan antidepresan MAOI yang mencegah pemecahan neurotransmiter stimulan di otak.
459,246,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
460,247,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
461,248,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
462,249,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
463,250,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
464,251,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
465,252,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
466,253,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
467,254,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
468,255,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
469,256,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
470,257,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
471,258,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
472,259,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
473,260,Ciprofloxacin / Cimetidine / Fluoxamine,Farmakokinetik,"Toksisitas Kafein (Takikardia, Tremor, Insomnia parah).","Obat-obatan ini sangat kuat menghambat enzim hati CYP1A2 yang bertugas menghancurkan kafein. Akibatnya, kafein menumpuk di darah hingga level beracun."
474,260,Lithium,Farmakokinetik,Kambuhnya gejala mania pada Bipolar.,"Kafein memicu ginjal untuk membuang lithium lebih cepat. Jika konsumsi kopi dihentikan tiba-tiba, kadar lithium dalam darah bisa mendadak naik ke level toksik."
475,261,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
476,262,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
477,263,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
478,264,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
479,265,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
480,266,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
481,267,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
482,268,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
483,269,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
484,270,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
485,271,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
486,272,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
487,273,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
488,274,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
489,275,Anestesi Bedah / Obat Bius Umum,Farmakodinamik,Risiko fatal gagal napas atau pasien tidak bisa dibangunkan.,Valerian memperpanjang aksi anestesi sentral dengan kuat (GABAergic). Wajib dihentikan 2 minggu sebelum prosedur operasi besar.
490,276,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
491,277,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
492,278,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
493,279,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
494,280,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
495,281,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
496,282,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
497,283,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
498,284,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
499,285,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
500,286,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
501,287,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
502,288,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
503,289,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
504,290,Hormon Tiroid Sintetik (Levothyroxine),Farmakodinamik,"Hipertiroidisme (Detak jantung cepat, tremor, cemas).","Ashwagandha dilaporkan merangsang produksi hormon tiroid (T4) alami oleh kelenjar tiroid. Digabungkan dengan obat resep, akan menyebabkan kelebihan hormon tiroid."
505,290,Obat Imunosupresan,Farmakodinamik,Mengurangi efektivitas pengobatan.,"Sebagai adaptogen dan imunomodulator, ia meningkatkan fungsi sel T dan sel B yang coba ditekan oleh imunosupresan."
506,291,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
507,292,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
508,293,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
509,294,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
510,295,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
511,296,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
512,297,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
513,298,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
514,299,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
515,300,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
516,301,MAO Inhibitor (Phenelzine),Farmakodinamik,Krisis hipertensi yang bisa berakibat fatal.,"Ephedrine memicu pelepasan norepinefrin secara masif, sedangkan MAOI mencegah pemecahannya. Akibatnya hormon stres menumpuk di otak dan jantung."
517,301,Beta-blocker (Propranolol),Farmakodinamik,Menurunkan efektivitas obat penurun darah tinggi.,"Ephedra merangsang reseptor adrenergik (simpatomimetik), melawan secara langsung kerja obat penghambat reseptor beta."
518,302,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
519,303,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
520,304,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
521,305,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
522,306,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
523,307,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
524,308,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
525,309,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
526,310,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
527,311,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
528,312,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
529,313,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
530,314,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
531,315,Adenosine (Obat Jantung),Farmakodinamik,Menghambat efek terapi Adenosine.,"Kandungan kafein sangat tinggi dalam Guarana bertindak sebagai antagonis kompetitif pada reseptor adenosin, menggagalkan kerja obat untuk mengatasi aritmia."
532,316,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
533,317,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
534,318,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
535,319,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
536,320,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
537,321,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
538,322,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
539,323,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
540,324,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
541,325,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
542,326,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
543,327,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
544,328,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
545,329,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
546,330,Midazolam / Dextromethorphan / Felodipine,Farmakokinetik,Peningkatan drastis kadar obat dalam darah (Toksisitas).,"Sama seperti Grapefruit, Bitter Orange menghambat enzim CYP3A4 di usus, menyebabkan obat-obatan tertentu gagal diurai dan menumpuk di darah."
547,330,Stimulan Medis (Amphetamine / Methylphenidate),Farmakodinamik,Risiko tinggi stroke dan aritmia jantung.,Kandungan Synephrine bersinergi secara kuat dengan stimulan medis dalam memacu sistem saraf simpatik.
548,331,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
549,332,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
550,333,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
551,334,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
552,335,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
553,336,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
554,337,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
555,338,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
556,339,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
557,340,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
558,341,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
559,342,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
560,343,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
561,344,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
562,345,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
563,346,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
564,347,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
565,348,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
566,349,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
567,350,Finasteride / Dutasteride,Farmakodinamik,Tidak disarankan (Terapi tumpang tindih).,Keduanya digunakan untuk prostat (BPH) dan memiliki mekanisme yang sama yakni menghambat enzim 5-alpha-reductase. Penggunaan bersama tidak menambah manfaat dan bisa menimbulkan efek samping hormonal.
568,350,Warfarin / Aspirin,Farmakodinamik,Peningkatan risiko memar dan pendarahan.,Saw Palmetto memiliki aktivitas antiplatelet ringan melalui jalur penghambatan enzim siklooksigenase (COX).
569,351,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
570,352,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
571,353,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
572,354,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
573,355,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
574,356,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
575,357,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
576,358,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
577,359,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
578,360,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
579,361,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
580,362,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
581,363,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
582,364,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
583,365,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
584,366,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
585,367,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
586,368,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
587,369,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
588,370,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
589,371,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
590,372,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
591,373,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
592,374,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
593,375,Atorvastatin / Obat Hepatotoksik Lain,Toksisitas,Peningkatan risiko kerusakan hati (Hepatitis fulminan).,Terdapat laporan kasus kerusakan hati terkait Black Cohosh. Menggabungkan dengan statin atau obat yang membebani liver bisa mempercepat kerusakan hepatoseluler.
594,375,Tamoxifen (Obat Kanker Payudara),Farmakodinamik,Berpotensi mengganggu efektivitas Tamoxifen.,Black Cohosh memiliki sifat modulator reseptor estrogen selektif yang dapat berkompetisi dengan Tamoxifen di jaringan payudara.
595,376,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
596,377,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
597,378,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
598,379,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
599,380,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
600,381,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
601,382,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
602,383,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
603,384,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
604,385,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
605,386,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
606,387,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
607,388,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
608,389,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
609,390,Antidepresan Trisiklik / MAO Inhibitor,Farmakodinamik,"Krisis Hipertensi, takikardia, dan kecemasan parah.","Yohimbine memblokir reseptor alpha-2 adrenergik sentral, memicu pelepasan norepinefrin secara masif yang efeknya digandakan oleh obat antidepresan tersebut."
610,390,Clonidine,Farmakodinamik (Antagonis),Saling meniadakan efek obat.,"Clonidine adalah obat antihipertensi golongan agonis alpha-2, sedangkan Yohimbine adalah antagonis alpha-2, sehingga terapi Clonidine akan gagal."
611,391,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
612,392,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
613,393,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
614,394,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
615,395,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
616,396,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
617,397,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
618,398,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
619,399,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
620,400,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
621,401,Warfarin / Antikoagulan,Farmakodinamik,Peningkatan risiko pendarahan spontan.,Kandungan salisin dalam willow bark diubah menjadi asam salisilat yang menghambat agregasi platelet secara kuat.
622,401,"NSAID (Ibuprofen, Naproxen)",Farmakodinamik,Iritasi mukosa lambung dan toksisitas ginjal.,"Efek aditif dalam menghambat prostaglandin pelindung lambung, memicu ulkus (tukak lambung) berdarah."
623,402,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
624,403,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
625,404,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
626,405,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
627,406,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
628,407,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
629,408,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
630,409,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
631,410,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
632,411,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
633,412,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
634,413,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
635,414,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
636,415,Terapi Pengganti Hormon (HRT) / Estrogen Sintetik,Farmakodinamik,Stimulasi jaringan sensitif estrogen (payudara/rahim).,"Maca mengandung senyawa fitoestrogen yang berpotensi memodulasi reseptor estrogen, berinteraksi secara tak terprediksi dengan terapi hormon sintetik."
637,416,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
638,417,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
639,418,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
640,419,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
641,420,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
642,421,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
643,422,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
644,423,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
645,424,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
646,425,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
647,426,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
648,427,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
649,428,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
650,429,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
651,430,Warfarin,Farmakokinetik,Peningkatan INR dan risiko pendarahan internal fatal.,"Jus cranberry dosis tinggi menghambat enzim CYP2C9 di hati, mencegah metabolisme warfarin sehingga kadarnya menumpuk di darah."
652,430,Atorvastatin (Obat Kolesterol),Farmakokinetik,Peningkatan risiko miopati atau rhabdomyolisis.,"Cranberry menghambat aktivitas enzim CYP3A4, memperlambat pembuangan statin dari dalam tubuh."
653,431,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
654,432,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
655,433,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
656,434,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
657,435,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
658,436,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
659,437,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
660,438,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
661,439,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
662,440,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
663,441,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
664,442,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
665,443,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
666,444,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
667,445,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
668,446,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
669,447,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
670,448,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
671,449,-,belum ada data yang ditemukan,belum ada data yang ditemukan,belum ada data yang ditemukan
