id,herbal_id,pemerian_farmakognosi,mikroskopik_farmakognosi,mekanisme_aksi,farmakokinetik,toksikologi,interaksi_obat_umum
385,385,Daun hijau kasar buah merah sangat manis kecil lekat.,Flavonoid kersen daun.,Inhibisi enzim xantin oksidase (mirip allopurinol) memblok produksi asam urat kristal darah gout sendi kaki.,Metabolisme hepar urin ginjal ekskresi asam urat larut jernih bening tuntas.,Aman.,Aman.
386,386,Biji hitam keras buah ungu sepet manis.,Jamboline alkaloid polifenol.,Memperlambat glikogenolisis hepar dan hambat penyerapan glukosa usus (anti-diabetik botani terbaik setara medis).,Metabolisme pankreas usus lambat rilis glukosa aman.,Aman.,Sinergis sangat menguntungkan obat Metformin Glimepiride dokter awas hipoglikemia ganda.
387,387,Buah ungu merah sepat berair kupa kelengkeng.,Antosianin pewarna.,Pelindung mukosa lambung iritasi alkohol anti-hangover hati liver.,Metabolisme hepar bilus kantong empedu netral.,Aman.,Aman.
388,388,Buah hijau kuning bulat kecil biji pink.,Vitamin C pekat organik asam.,Penyegar hidrasi mukosa mulut faring sariawan tonsil radang akut.,Standar pencernaan lambung duodenum.,Aman.,Aman.
389,389,Buah berduri biji serabut hijau renyah.,Pektin kalsium fosfat serat kasar utuh.,Penggosok plak gigi mekanis nabati penguat email trabekula email dentin.,Kerja mekanis lokal rongga mulut oral cavity.,Aman.,Aman.
390,390,Buah bintang kuning air berlimpah.,Caramboxin neurotoksin unik dan Asam Oksalat kristal masif ginjal.,Menghambat reseptor GABA glutamat otak cegukan konvulsi kejang koma kematian pada pasien ginjal cuci darah ureum kreatinin.,Dibuang UTUH oleh ginjal sehat 100%. Menumpuk di darah fatal menembus sawar darah otak pada ginjal rusak.,SANGAT TOKSIK MEMATIKAN NEUROTOKSIN bagi GAGAL GINJAL (Koma cegukan).,Aman total sehat.
391,391,Buah kuning asam mirip manggis kembar.,Xanthone asid.,Astringen dan penyembuh luka sariawan raksasa stomatitis aftosa.,Lokal mukosa oral.,Aman.,Aman.
392,392,Buah sepat ungu merah harus dipijat.,Tanin pekat.,Koagulasi cairan feses diare cair presipitasi protein sekum usus tebal kolon.,Lokal usus besar.,Aman.,Aman.
393,393,Buah buni kecil merah hitam tandan.,Zat besi tinggi organik hemoglobin.,Prekursor ikatan porfirin heme eritrosit tulang sumsum pembentukan darah merah anemia pucat.,Absorpsi usus duodenum aktif carrier Fe2+ vitamin C sinergis.,Aman.,Aman.
394,394,Buah kuning beludru isi kapas manis putih biji nempel.,Bryonolic acid serat daging buah.,Antelmintik cacing gelang usus ascaris mati kelaparan.,Lokal usus cacing.,BIJI SANGAT BERBAHAYA ujung tajam duri merobek usus buntu perforasi mematikan operasi bedah perut jika tertelan utuh sengaja.,Aman buah kulit daging saja tanpa biji telan.
395,395,Buah keriput bentuk ginjal di batang pohon nempel asam manis.,Saponin ginjal peluruh batu kapur fosfat.,Memecah ikatan kalsium oksalat ginjal pelvis ureter saluran ureter meluruh kencing kotor pasir kristal batu kerikil perih tajam.,Ekskresi urin asam sitrat pelarut organik ginjal kandung kemih.,Aman.,Aman.
396,396,Buah merah bulu beludru gatal tebal.,Serat pektin bisbul halus.,Pelapis mukosa lambung iritasi erosi borok tukak lambung gaster.,Kerja pelapis mukosa gaster mukopolisakarida gel viskosa tebal tak tembus asam lambung HCl pH 1.,Bulu kulit SANGAT GATAL histamin alergi merah kulit.,Aman kupas bersih daging buah aman total lezat manis mentega.
397,397,Buah lonjong wangi tajam durian nangka gabung.,Artonin E (kulit batang).,Anti-plasmodium falciparum malaria parasit lisis pecah darah merah.,Metabolisme spesifik sel darah merah lisis parasit.,Aman.,Aman.
398,398,Buah bulat duku kecil kulit merah.,Vitamin A pekat antioksidan.,Pemulihan sel epitel konjungtiva mata merah iritasi konjungtivitis debu kotor bakteri.,Distribusi epitel kornea konjungtiva mukosa air mata glandula lakrimal sekresi bersih.,Aman.,Aman.
399,399,Buah duku asam bergetah bergerombol.,Lansioside bitter.,Sama dengan duku antiplasmodium dan disentri basiler diare darah.,Metabolisme standar hepar.,Aman.,Aman.
400,400,Buah mirip sukun duri lunak lebat.,"Asam amino esensial biji, karbohidrat.",Pemulihan energi malnutrisi selular balita stunting kwashiorkor marasmus tinggi padat kalori protein gizi nabati mudah cerna.,Absorpsi usus halus efisiensi 90% anabolisme protein otot anak.,Aman.,Aman.
401,401,Buah bulat hijau kekuningan keras rasa masam astringen tajam.,Asam askorbat stabil terikat tanin.,Inhibisi enzim aldose reduktase pencegah komplikasi katarak diabetes.,Absorpsi vitamin C tinggi karena perlindungan polifenol.,Aman.,Aman sinergis.
402,402,Daun hijau kasar berbau tajam bawang putih pahit.,Azadirachtin (limonoid) triterpenoid kompleks.,Inhibisi sintesis kitin eksoskeleton serangga dan antiinflamasi PGE2 lambung.,Metabolisme sangat lambat menumpuk di jaringan lemak.,Toksik liver/ginjal jika diminum jangka panjang/dosis tinggi rutin.,"Aman luar, hati-hati oral."
403,403,Herba air daun membulat tebal kecil basah.,Bacoside A dan B (saponin triterpen).,Meningkatkan kinase protein otak dan aktivitas antioksidan hipokampus neurogenesis.,Melewati sawar darah otak lambat butuh 4 minggu terapi.,Aman.,Interaksi obat penenang ringan.
404,404,Buah lonjong coklat keriput keras.,Asam chebulinat dan chebulagik (tannin).,Prokinetik saluran cerna pembersih kolonik sisa detritus reseptor motilin.,Fermentasi parsial usus kolon.,Aman.,Aman.
405,405,Buah bulat abu berbulu halus beludru.,Belleric acid glukosida.,Ekspektoran mukolitik memecah ikatan disulfida dahak paru kental pernapasan.,Absorpsi cepat oral.,Aman.,Aman.
406,406,Akar panjang menyerupai jari pucat.,Shatavarin (saponin steroid).,Fitoestrogen modulator pengikat reseptor ER rahim kelenjar susu galaktagog proliferasi.,Metabolisme koliform usus parsial.,Aman.,Interaksi hormonal estrogenik.
407,407,Batang berjerawat bintil hijau pahit berlendir.,Tinosporin diterpen glikosida alkaloid.,Stimulasi aktivitas fagositik makrofag dan polimorfonuklear PMN leukosit sistem imun.,Absorpsi usus lambat.,Aman.,Aman.
408,408,Daun tipis hijau mengkilap.,Asam gymnemik (campuran triterpen saponin).,Menutupi reseptor manis di lidah dan hambat penyerapan glukosa epitel usus.,Kerja lokal di lidah dan mukosa usus langsung.,Aman.,Sinergis hipoglikemia dengan Metformin Insulin.
409,409,Akar umbi coklat keras merambat tebal.,Isoflavonoid Butein dan flavonoid.,Inhibitor enzim PDE-5 (mirip sildenafil) meningkatkan cGMP relaksasi corpus cavernosum penis.,Metabolisme hepatik singkat cepat.,Hipertensi krisis jika dosis ekstrim.,Bahaya vasodilatator nitrat obat jantung.
410,410,Daun bentuk panah asimetris bergerigi.,Icariin (prenylated flavonol glikosida).,Sama Butea inhibisi PDE-5 spesifik dan meningkatkan nitric oxide NO lokal endotel rahim/penis.,Absorpsi lipid moderat.,Aman.,Interaksi vasodilator.
411,411,Kacang polong bulu gatal L-Dopa tinggi.,L-DOPA (Levodopa) alami konsentrasi tinggi 5%.,Prekursor langsung Dopamin menembus sawar darah otak mengatasi rigiditas Parkinson neurodegeneratif.,Didekarboksilasi perifer jika tanpa carbidopa masuk otak.,Toksik halusinasi skizofrenia mual muntah jika dimakan mentah utuh.,Sinergis obat Parkinson (Carbidopa).
412,412,Daun hijau urat merah/putih hijau seduh.,Mitragynine dan 7-hydroxymitragynine alkaloid indolo.,Agonis parsial reseptor mu-opioid dan kappa (efek analgesik euforia tanpa depresi napas penuh).,Onset 15 menit waktu paruh 3 jam.,Adiksi toleransi tinggi gejala putus obat (sakaw) hepatotoksik dosis tinggi.,SANGAT BERBAHAYA dengan depresan SSP Alkohol Benzodiazepin.
413,413,Batang kayu sulur tebal liana dililit tebal.,Harmine Harmaline Tetrahydroharmine (Beta-carboline MAOI).,Inhibitor Monoamine Oxidase A (MAO-A) reversibel mencegah pemecahan DMT di lambung untuk tembus otak.,Memblokir enzim lambung memicu muntah purging tubuh.,Sangat toksik memicu Sindrom Serotonin krisis hipertensi.,INTERAKSI FATAL MATI DENGAN SSRI ANTIDEPRESAN TYRAMINE KEJU ANGGUR.
414,414,Daun cincang hijau mate labu minum.,Xanthine alkaloid Kafein Theobromin Matein klorogenat.,Stimulasi adenosin reseptor antagonis bronkodilasi takikardi fokus.,Absorpsi lambung usus instan 15 menit.,Toleransi kafein insomnia gerd maag jantung.,Sinergis stimulan saraf.
415,415,Daun jarum merah kering teh fermentasi.,Aspalathin Nothofagin flavonoid unik rooibos.,Spasmolitik pencernaan antioksidan intraselular superoksida dismutase peningkat.,Aman total.,Sangat aman bahkan untuk bayi kolik.,Aman tidak interaksi.
416,416,Daun lebar amazon seduh guayusa.,Kafein L-Theanine Asam klorogenat tinggi.,Stimulasi SSP diredam oleh L-theanine mencegah jitter debar cemas (fokus tenang relaks).,Sinergis absorpsi lambat stabil panjang.,Aman.,Aman.
417,417,Kulit kayu merah coklat rebus pahit.,Cinchonain Catuabines alkaloid.,Menstimulasi saraf parasimpatis panggul pelebaran kapiler erektil.,Ekskresi hepatik.,Aman.,Aman.
418,418,Akar kayu keras muira amazon.,Ptychopetalum olacoides sterol lupeol.,Modulasi reseptor dopaminergi dan noradrenergik peningkat sensitivitas taktil genitalia.,Pencernaan lipid lemak alkohol ekstraksi.,Aman.,Aman.
419,419,Kulit kayu afrika barat berlekuk merah.,Yohimbine indole alkaloid.,Antagonis reseptor Alpha-2 adrenergik meningkatkan noradrenalin simpatik aliran darah panggul lipolisis lemak.,Metabolisme CYP3A4 hepar cepat peak.,Takikardi krisis hipertensi serangan panik bahaya.,KONTRAINDIKASI obat darah tinggi MAOI antidepresan ginjal.
420,420,Batang kaktus berduri hijau asimetris.,P57 glikosida steroid.,Meningkatkan ATP di hipotalamus sensor lapar mengirim sinyal palsu kenyang absolut ke otak sentral.,Lama kerja 24 jam.,Aman jika murni awas dehidrasi karena tidak merasa haus.,Aman.
421,421,Biji merah putih belah dua keras kola.,Kafein Kolatin Theobromin.,Stimulan korteks serebri peningkat denyut jantung pernapasan.,Pencernaan usus.,Aman.,Aman.
422,422,Akar geranium umcka merah tua afrika.,Umckalin kumarin asam galat.,Menghambat penempelan bakteri streptococcus di sel epitel pernapasan silia pendorong mukus cepat.,Aman oral sirup tetes.,Aman.,Interaksi kumarin pendarahan warfarin lemah.
423,423,Akar umbi kait iblis gurun namibia.,Harpagoside iridoid glikosida.,Inhibisi enzim COX-2 dan LOX jalur inflamasi sendi asam arakidonat degradasi tulang rawan dihambat.,Pencernaan usus dirusak oleh asam lambung harus salut enterik kapus.,Iritasi ulkus peptikum gaster.,Aman luar maag.
424,424,Herba kering fermentasi kanna afrika.,Mesembrine alkaloid.,Inhibitor reuptake serotonin (SRI) poten dan inhibitor PDE-4 peningkat mood euforia ringan.,Sublingual mukosa kunyah hisap paru hidung oral lambat.,Sedatif ringan dosis toleransi.,Interaksi SSRI MAOI bahaya.
425,425,Getah sari kaktus agave biru.,Fruktan agavin inulin.,Pemanis fruktosa tinggi tidak memicu lonjakan insulin pankreas instan prebiotik flora.,Absorpsi fruktosa hepar lambat glikogen.,Metabolisme fruktosa memberatkan liver jika over.,Aman.
426,426,Buah kaktus ungu berduri pir nopal.,Pektin lendir betalain pigmen.,Mengikat molekul kolesterol usus gel viskosa dan anti-inflamasi sel endotel vaskular asidosis.,Feses massa bulking perut.,Aman.,Aman.
427,427,Biji kacang otak berlekuk kecil usa.,Mangan lemak tak jenuh ganda tembaga.,Kofaktor enzim superoksida dismutase (SOD) pelindung mitokondria saraf SSP sel.,Pencernaan lipid empedu pankreas.,Aman.,Aman.
428,428,Biji kacang bulat kerucut manis rebus.,Pati amilosa serat kompleks manis.,Karbohidrat lambat pecah maltase amilase pankreas sumber glikogen otot lambat.,Pencernaan usus kecil.,Aman.,Aman.
429,429,Biji kecil cemara pinus putih pignoli.,Asam pinolenat (Omega-6 langka).,Menstimulasi hormon CCK (Cholecystokinin) dan GLP-1 usus menekan nafsu makan perut kenyang.,Absorpsi lemak asam empedu sekresi lambat.,Aman (Pine Mouth Syndrome rasa pahit 2 minggu reversibel).,Aman.
430,430,Biji besar keras cangkang amazon brazil.,Selenium organik metionin sangat tinggi (1 butir = 90mcg).,Prekursor enzim glutathione peroxidase antioksidan master pelindung tiroid DNA replikasi kanker dihambat.,Absorpsi asam amino selektif 100%.,Keracunan selenium (Selenosis) rambut rontok napas bau bawang mati syaraf jika lebih 5 butir harian.,Aman dosis mikro.
431,431,Akar panjang ginseng brazil amaranth.,Asam pfaffic ecdysterone saponin.,Adaptogen anabolik nabati peningkat sintesis protein otot oksigenasi eritrosit ketahanan seluler hipoksia.,Metabolisme hepar ginjal.,Aman.,Aman.
432,432,Akar bonggol hitam wangi manis tanah.,Antrakuinon emodin lecitin (jika sudah diolah akar/cured).,Menstimulasi melanogenesis folikel rambut uban hitam kembali hepatoprotektif.,Pencernaan usus usus besar lambat.,Akar mentah (raw) sangat hepatotoksik merusak liver gagal hati.,Aman 100% jika sudah dikukus dengan kacang hitam (cured).
433,433,Buah merah keriput kenyal cina.,Jujuboside triterpen glikosida siklik AMP.,Menurunkan eksitabilitas saraf SSP aktivasi reseptor GABA tidur nyenyak mukosa lambung pelindung.,Aman oral sup rebusan.,Aman.,Aman.
434,434,Beri hitam kecil pahit kelat astringen.,Proanthocyanidins antosianin tertinggi buah (1500mg/100g).,Vasodilatasi pelepasan endotel NO menurunkan tensi darah drastis kardiovaskular dinding plak lisis.,Metabolisme usus kolon cincah mikroflora.,Aman.,Aman.
435,435,Beri ungu tua kecil cile mapuche.,Delphinidin antosianin spesifik ungu.,Regenerasi sel air mata kelenjar lakrimal kering mata saring UV.,Aman oral serbuk ekstrasi.,Aman.,Aman.
436,436,Buah merah kecil berlekuk 3 barbados.,Asam askorbat konsentrasi ekstrim 50x jeruk pekat.,Ko-faktor hidroksilasi prolin kolagen kuat peningkat fagositosis sel darah putih neutrofil.,Ekskresi urin asam saturasi darah 200mg.,Aman dosis usus toleran diare jika over vitamin C asidosis lambung.,Aman.
437,437,Buah keras merah tanpa kelopak bunga mawar.,Galaktolipid (GOPO) khas mawar.,Menghambat kemotaksis leukosit polimorfonuklear PMN ke sendi radang osteoarthritis pelindung kartilago lutut hancur.,Absorpsi usus aktif lambat inflamasi membaik 3 minggu.,Aman.,Aman.
438,438,Minyak biji kacang afrika kuning wangi.,Asam oleat linoleat antioksidan asam amino.,Emolien oklusif pelindung transepidermal water loss TEWL kulit luar.,Topikal epidermis murni.,Aman luar.,Aman.
439,439,Kacang bentuk bintang inka peru.,Alpha-Linolenic Acid (ALA) Omega 3 50%.,Prekursor EPA anti inflamasi plak kolesterol pembersih vena vena.,Pencernaan trigliserida lipid empedu duodenum.,Aman.,Aman.
440,440,Buah kuning daging kering tepung karamel.,Inositol karotenoid serat kompleks.,Lambat dicerna usus tidak memicu pelepasan insulin instan indeks glikemik rendah 25 penderita diabetes pankreas aman.,Pencernaan kolon prebiotik.,Aman.,Aman.
441,441,Umbi air renyah manis bengkuang peru.,Fruktooligosakarida (FOS) rantai pendek manis.,Pemanis non-kalorik tak tercerna lambung prebiotik makanan bifidobakteri kolon fermentasi asam lemak rantai pendek SCFA imun usus.,Lumen usus kolonik ekskresi feses lunak.,Aman kembung gas ringan.,Aman.
442,442,Polong tepung kuning gurih karamel gurun.,Galaktomanan serat kompleks lambat.,Pencegah lonjakan gula darah glikemik indeks 25 tepung bebas gluten penderita celiac disease aman usus.,Pencernaan mekanis parsial.,Aman.,Aman.
443,443,Biji super kecil putih merah afrika.,Kalsium besi resisten pati amino asid metionin.,Sumber gizi sel tulang pembentukan hemoglobin darah penderita celiac tanpa kembung gluten perut.,Pencernaan duodenum pankreas amilase optimal.,Aman.,Aman.
444,444,Biji kecil burung kuning buram.,Magnesium fosfor basa dietetik grain.,Alkalisasi cairan tubuh asidosis pencegah batu ginjal asam urat urat kristal pelarut.,Aman lambung pencernaan.,Aman.,Aman.
445,445,Biji segitiga soba gandum semu (pseudocereal).,Rutin (bioflavonoid) D-chiro-inositol.,Penguat dinding kapiler vena varises pecah peningkat sensitivitas insulin otot reseptor glukosa transpor.,Ekskresi hepatik ginjal kapiler.,Aman.,Aman.
446,446,Biji gandum purba dinkel eropa cangkang tebal.,Gluten purba larut air lebih peptida sederhana.,Pencernaan lebih mudah di lambung enzim protease penderita sensitif gandum modern iritasi minimal dinding usus.,Aman usus amilase hidrolisis.,Kontraindikasi penderita celiac mutlak (tetap ada gluten).,Aman.
447,447,Biji gandum raksasa khorasan mesir kuning.,Selenium zink karotenoid lutein protein tinggi 40% lebih dari gandum biasa.,Pembangun otot sel antioksidan membran sel penunda lapar usus lambat cerna.,Pencernaan gaster duodenum peptidase.,Kontraindikasi celiac disease.,Aman.
448,448,Polong coklat panjang daging manis wangi coklat.,Pinitol tanin tak larut lignin serat.,Pengganti theobromin kafein penderita gerd asam lambung sfingter esofagus tidak rileks pengikat cairan diare usus balita.,Pencernaan parsial kolon feses padat.,Aman.,Aman.
449,449,Akar panggang wangi kopi coklat cichorium.,Inulin pekat taraxasterol laktusin pahit.,Prebiotik flora usus bifido choleretik pendorong cairan empedu liver cuci toksin bebas kafein darah.,Metabolisme fermentasi usus empedu cair lambung.,Aman kembung gas usus inulin flatus.,Aman.
450,450,Akar kuning berkerut rumex dock.,Antrakuinon glikosida emodin rumicin besi terikat oksalat.,Pencahar stimulan kolon sekresi air kotoran darah jerawat detoksifikasi liver aliran empedu kental.,Ekskresi kolon ginjal urin pekat kuning.,Awas diare kram oksalat batu ginjal dosis tinggi.,Aman.
451,451,Biji melengkung bergaris wangi soto caraway.,Carvone limonene atsiri keton volatil.,Spasmolitik relaksan otot polos pencernaan usus terjebak gas usir kembung kolik kram angin.,Metabolisme hepar urin ekskresi napas wangi.,Aman.,Aman.
452,452,Akar seledri liar besar wangi maggi kaldu lovage.,Ligustilide ftalida butil phtalida atsiri.,Diuretik aquaretik iritasi ringan epitel ginjal pendorong asam urat keluar peluruh urin bilas radang pelvis.,Ekskresi urin masif bau seledri.,Aman awas ginjal rusak parah hindari.,Aman.
453,453,Getah resin kuning bau bawang sulfur busuk asafetida hing.,Asaresinotannol disulfida volatil sulfur organik umbelliferon.,Antispasmodik nervus vagus cacingan ekspektoran mukus paru anti kembung legendaris india bumbu tanpa bawang.,Absorpsi lambung napas bau asafetida keringat usir serangga.,Aman dosis bumbu.,Aman.
454,454,Getah resin kuning hijau wangi musk balsamic ferula galbanum.,Pinene cadinene umbelliferon resin makrosiklik.,Antispasmodik histeria saraf kram otot pelega napas dupa aromaterapi purba mesir mumifikasi.,Inhalasi uap mukosa hidung paru kapiler darah otak.,Aman.,Aman.
455,455,Getah bening keras damar mastic chios yunani air mata.,Masticadienonic acid triterpen mastik.,Bakterisidal kontak langsung bakteri Helicobacter pylori tukak lambung borok hancur dinding sel mati gusi sariawan.,Lokal mukosa lambung usus kunyah oral.,Aman kunyah telan.,Aman.
456,456,Getah putih pita pita keras tragacanth astragalus.,Tragacanthin bassorin polisakarida viskosa tinggi air gel kental mengembang 50x lipat pelumas.,Demulsen pelapis selaput lendir tenggorokan serak radang usus lambung suspensor sediaan farmasi suspensi tebal.,Lokal lumen saluran cerna tidak diserap utuh gel feses.,Aman.,Menghambat absorpsi obat lain lumen jeda obat 2 jam minum air banyak.
457,457,Getah resin wangi pinus jeruk copal burseraceae.,Copalic acid diterpen resin wangi amyrin.,Aromaterapi relaksasi gelombang otak alfa pembersih udara anti nyamuk dupa pemujaan suku maya.,Inhalasi uap otak olfaktori septum.,Aman luar dupa.,Aman.
458,458,Getah merah darah mengental cepat croton lechleri amazon drago.,Taspine alkaloid oligomeric proanthocyanidins OPC taspine dimethylcedrusin.,Hemostatik polimerisasi protein luka koagulasi instan fibroplasia kolagen penutup borok maag cair getah lekat lem.,Lokal jaringan epitel terbuka kulit lambung.,Aman luar oral dosis getah encer maag.,Aman.
459,459,Kayu mati wangi jeruk mint palo santo bursera.,Limonene alpha-terpineol menthofuran atsiri kayu.,Sedatif saraf olfaktori amigdala kecemasan depresi panik dupa bakar uap pernapasan relaks miokard jantung denyut stabil.,Inhalasi uap asap mukosa hidung paru kapiler darah.,Aman luar asap dupa.,Aman.
460,460,Minyak kayu wangi tanah cedarwood cedrus atlantica maroko.,Cedrol atlantone seskuiterpen hidrokarbon.,Rubefasien vasodilator kapiler kulit kepala folikel rambut sirkulasi alopecia limfatik drainase selulit pijat.,Topikal epidermis kulit stratum corneum folikel.,Toksik oral dilarang minum kejang.,Aman luar pijat.
461,461,Minyak daun jarum wangi pinus cypress cupressus.,Alpha-pinene carene camphene astringen atsiri.,Astringen vasokonstriktor kapiler vena panggul kaki bengkak ambeien wasir kempes limfatik stasis deuretik lokal.,Topikal vena pijat kompres luar wasir.,Aman luar toksik oral neuro.,Aman.
462,462,Buah beri biru hitam pinus juniper gin juniperus.,Terpinen-4-ol pinene sabinene atsiri ginjal.,Diuretik iritasi epitel pelvis ginjal peningkatan laju filtrasi glomerulus pembilas infeksi saluran kemih kencing nanah.,Ekskresi ginjal urin bau cemara pinus pekat iritan lokal pelvis.,Dilarang keras untuk gagal ginjal nefritis iritasi parah.,Aman dosis pendek teh.
463,463,Minyak daun jarum fir abies alba perak cemara pine.,Bornyl acetate camphene pinene atsiri uap.,Ekspektoran mukolitik silia epitel bronkus paru napas sesak asma lendir cair pelega nyeri sendi pijat balsem.,Inhalasi uap gosok dada kulit kapiler alveolus.,Aman luar uap toksik oral minum.,Aman.
464,464,Minyak daun spruce picea mariana hitam cemara kanada.,Camphene alpha-pinene bornyl acetate kortisol like.,Adaptogen kelenjar adrenal stimulasi axis HPA penekan stres kortisol lelah letih kronis burn out energi aromaterapi pijat.,Topikal kelenjar adrenal pinggang bawah inhalasi uap hidung.,Aman luar dupa uap toksik telan.,Aman.
465,465,Minyak daun jarum panjang pine pinus sylvestris eropa.,Alpha-pinene beta-pinene limonene antiseptik kuat udara.,Bakterisida udara difuser pembersih patogen paru bronkitis pelega hidung mampet sirkulasi pijat rematik lutut merah panas.,Inhalasi mukosa hidung difuser paru kulit gosok balsem.,Aman luar toksik minum neuro.,Aman.
466,466,Minyak daun eukaliptus australia koala globulus biru wangi tajam.,"1,8-Cineole (Eucalyptol) sangat pekat lebih dari 70%.",Mukolitik ekspektoran aktivator silia bronkus paru asma sesak napas balsem dada otot rubefasien nyamuk usir.,Inhalasi uap kapiler kulit dada punggung hidung.,SANGAT TOKSIK ORAL FATAL 5ml minyak murni bisa mematikan balita kejang koma napas henti.,Aman luar tetes uap balsem gosok.
467,467,Minyak daun tea tree australia melaleuca alternifolia bau disinfektan.,Terpinen-4-ol pekat cineole rendah anti jamur luar biasa spektrum luas.,Lisis membran sel bakteri jerawat P. acnes jamur T. rubrum kuku kutu air panu kudis kurap herpes zoster virus hancur mati epitel lokal topikal.,Topikal epidermis stratum corneum kuku kutil jerawat folikel abses nanah luar penetrasi dalam.,SANGAT TOKSIK ORAL FATAL neurotoksik kejang anjing kucing mati manusia koma dilarang keras telan kumur buang ludah.,Aman luar 100% kapas cotton bud titik jerawat kuku.
468,468,Minyak daun niaouli melaleuca quinquenervia kaledonia baru bau kamper.,"1,8-Cineole viridiflorol pinen anti radiasi kulit.",Ekspektoran pelindung sel dari radiasi kemoterapi radioterapi kanker (oles sebelum sinar) antivirus herpes ringan kutil luka bakar kulit regenerasi.,Topikal inhalasi uap kulit epitel dermis kapiler paru.,Aman luar toksik oral neuro.,Aman.
469,469,Madu kental keruh dan minyak daun leptospermum scoparium selandia baru.,Methylglyoxal (MGO) konsentrasi raksasa unik (madu) triketone (minyak).,Non-peroxide activity (NPA) pembunuh bakteri MRSA kebal obat borok tukak lambung radang super H. Pylori regenerasi sel maag luka basah bernanah diabetes gangren.,Oral lambung usus topikal luka diabetes gangren salep kasa.,Aman total madu oral minyak luar.,Aman.
470,470,Minyak daun kanuka mirip manuka daun kecil kunzea ericoides.,Alpha-pinene pekat anti inflamasi otot sendi memar.,Analgesik oles anti inflamasi sendi memar lebam darah stasis relaksan otot keseleo keseleo saraf kejepit cedera olahraga pegal balsem pijat urut sirkulasi hangat panggul punggung.,Topikal kapiler vena otot skelet ligamen tendon urut menembus.,Aman luar dilarang minum neurotoksik ringan.,Aman.
471,471,Daun wangi murad bunga putih eropa myrtus communis.,Myrtenol myrtenyl acetate cineole pelembut dahak paru anak.,Ekspektoran lembut aman untuk asma anak bronkitis ringan relaksan otot perut kram kolik lambung teh aromatik teh seduh bumbu masakan panggang.,Absorpsi oral teh paru empedu hepar lambung uap.,Aman dosis wajar teh seduh.,Aman.
472,472,Daun salam eropa bay leaf tebal wangi khas laurus nobilis yunani romawi.,Cineole linalool eugenol penurun gula darah pankreas bumbu sup kaldu aromatik.,Meningkatkan sensitivitas reseptor insulin sel otot glikogenolisis ditekan pencernaan gas kembung kolik cerna enzim lipase stimulasi.,Pencernaan lambung usus pankreas.,Aman dosis masakan awas daun utuh tersedak usus robek kasar tajam rebus ambil buang.,Aman.
473,473,Buah lada jamaika allspice pimenta dioica wangi pala kayu manis cengkeh lada jadi satu.,Eugenol quercetin gallic acid anestesi gusi perut kembung karminatif.,Anestesi lokal mukosa lambung gusi sariawan usir gas perut kembung kolik kram angin usus enzim pencernaan saliva gastrik hangat.,Lokal lambung mukosa gigi gusi saraf trigeminal.,Aman dosis rempah bubuk masakan.,Aman.
474,474,Biji lada melegueta afrika grains of paradise aframomum melegueta zingiberaceae jahe lada gabung.,6-Paradol 6-shogaol termogenesis pekat bakar lemak perut badan tubuh suplemen gym kardio keringat.,Aktivasi jaringan lemak coklat (Brown Adipose Tissue BAT) termogenesis lipolisis bakar kalori lemak perut buncit visceral fat UCP1 protein reseptor dingin capsaicin ringan tanpa perih maag parah pedas hangat unik lada jahe aroma kardul kardio.,Metabolisme lipid BAT usus lambat.,Aman dosis bumbu suplemen.,Aman.
475,475,Biji lada merah muda peru schinus molle anacardiaceae bukan piperaceae lada palsu wangi bunga lada manis asam.,Phellandrene limonene pinene karminatif diuretik teh bunga.,Diuretik pembersih saluran kemih peluruh kencing kotor bakteri napas lega perih gusi hilang antibakteri karminatif gas perut bumbu estetik steak lada masakan perancis pedas floral asam lemon pinus wangi.,Metabolisme ginjal urin lambung.,Aman dosis masakan dilarang keras bagi alergi kacang mete pistachio (anacardiaceae).,Aman.
476,476,Biji lada sichuan cina zanthoxylum simulans kebas mati rasa lidah pedas kesemutan.,Hydroxy-alpha-sanshool amide tak jenuh kebas reseptor lidah saraf trigeminal.,Aktivasi kanal reseptor TRPV1 dan TRPA1 (panas pedas) dan KCNK3 (reseptor sentuhan mekanis) memicu getaran kebas kesemutan 50 Hz lidah saraf anestesi lokal parasit usus cacing mati paralisis.,Lokal saraf lidah mukosa pencernaan usus.,Aman bumbu masakan pedas mala cina.,Aman.
477,477,Biji lada jepang sansho zanthoxylum piperitum kerabat sichuan lebih wangi sitrus lemon daun muda dimakan.,Sanshool citronellal phellandrene pencernaan nafsu makan enzim lambung.,Sama dengan sichuan sanshool kebas namun lebih ringan aromatik lemon menstimulasi saliva air liur enzim gastrik lambung usir cacing amis belut ikan panggang jepang.,Lokal lidah saraf mukosa.,Aman bumbu masakan jepang.,Aman.
478,478,Getah resin guggul india commiphora wightii bdellium india purba kolesterol raja.,Guggulsterone (E dan Z isomer) steroid keton antagonis reseptor empedu FXR.,Antagonis Farnesoid X Receptor (FXR) liver memaksa liver mengubah kolesterol darah menjadi asam empedu buang ke feses (penurun kolesterol LDL trigliserida absolut).,Metabolisme hepar kolon ekskresi feses sterol empedu.,Aman dosis ekstrak awas diare lambung ringan.,Aman.
